1	37
1	40
1	44
1	72
2	44
2	60
2	179
2	288
3	58
3	70
3	101
3	103
3	241
4	136
4	238
4	248
5	17
5	74
5	94
5	272
6	42
6	89
6	252
7	142
7	158
7	172
8	7
8	17
8	109
9	195
9	214
9	222
10	31
10	72
10	92
10	123
11	100
11	152
11	297
12	85
12	159
12	220
13	167
13	224
13	279
14	124
14	169
14	283
15	10
15	33
15	203
16	124
16	135
16	237
17	27
17	280
18	52
18	95
18	280
18	283
19	166
19	207
20	69
20	114
20	132
20	291
21	62
21	87
21	132
21	161
22	59
22	66
22	182
23	191
23	296
24	129
24	179
24	220
24	261
25	57
25	248
25	293
26	15
26	199
26	264
27	35
27	127
27	245
28	32
28	113
28	173
28	224
28	240
29	89
29	134
29	228
29	247
30	55
30	156
30	158
31	126
31	131
31	223
31	283
32	95
32	190
33	68
33	191
33	294
34	173
34	192
34	228
34	232
35	18
35	111
35	267
36	5
36	144
37	140
37	169
37	260
38	110
38	188
39	105
39	110
39	228
39	293
40	88
40	140
40	238
41	153
41	276
42	76
42	223
43	1
43	98
43	131
43	226
44	36
44	214
44	250
45	36
45	65
45	257
45	273
46	117
46	146
46	166
46	218
47	12
47	65
47	117
47	120
47	148
48	48
48	54
48	177
49	119
49	246
49	255
50	59
50	144
51	22
51	184
51	236
52	118
52	284
53	160
53	171
53	200
54	29
54	131
54	205
55	75
55	186
55	227
56	16
56	142
57	190
57	235
57	295
58	130
58	131
58	263
58	290
59	3
59	93
59	147
59	208
59	254
60	102
60	106
60	134
61	21
61	112
61	252
62	32
62	100
62	204
62	225
63	98
63	122
63	277
64	219
64	276
64	283
65	11
65	22
65	77
65	185
66	6
66	112
67	84
67	124
67	165
67	287
68	64
68	79
68	180
69	189
69	253
69	262
70	56
70	73
70	147
70	229
70	285
70	289
71	3
71	45
71	196
71	216
71	255
72	28
72	50
72	121
72	196
72	278
73	63
73	67
73	166
73	181
73	211
74	65
74	200
74	290
75	30
75	78
75	197
75	209
76	43
76	170
76	233
77	39
77	71
77	115
77	176
77	233
78	13
78	127
78	169
78	281
79	140
79	215
80	83
80	131
80	206
81	10
81	140
82	48
82	125
82	133
82	145
83	40
83	41
83	137
83	217
83	282
84	115
84	154
84	163
85	25
85	86
85	128
85	236
85	253
86	26
86	178
86	209
87	23
87	53
87	96
87	141
87	157
87	183
87	264
87	286
88	224
88	271
89	176
89	193
89	195
90	18
90	252
90	270
91	175
91	273
92	62
92	90
92	194
92	258
92	292
93	2
93	17
93	49
93	71
94	8
94	38
94	82
94	150
94	288
95	11
95	79
95	97
96	30
96	34
96	81
96	162
97	61
97	99
97	138
97	272
97	275
98	16
98	118
98	204
98	227
99	3
99	19
99	51
99	80
99	91
99	139
100	94
100	108
100	168
100	201
100	259
101	104
101	183
101	212
101	269
102	4
102	116
102	234
103	14
103	244
104	9
104	226
104	249
105	20
105	93
105	243
105	264
106	107
106	149
106	187
106	251
106	266
106	274
107	188
107	202
107	210
108	12
108	101
108	291
109	56
109	274
110	101
110	143
111	93
111	213
111	256
112	164
112	176
113	151
114	161
114	198
114	221
114	230
115	230
116	155
116	221
116	265
116	286
117	12
118	46
118	47
118	70
119	12
120	68
120	116
120	159
120	228
121	141
121	268
122	145
122	180
123	270
124	24
124	59
124	156
124	236
125	154
126	115
126	242
127	145
127	174
128	217
128	231
129	38
129	239
130	26
130	189
