M,p0,TAU,quantpred
09593364801726276029BAE,0,5,0.45
095E33739185901142482AD,1,5,0.45
09803403782099232F7C0C7,1,4,0.55
09933652512102486FEB3CD,1,2,0.75
0996342021532919715D6D8,0,3,0.65
09A8362465279816197CE92,1,4,0.55
09BB3604601702132BD0BC6,1,1,0.85
09C434268453865913F0DE0,0,3,0.65
09DC3383965506827EBEE0A,0,5,0.45
09E3365128737355391A9EC,1,3,0.65
09F83614384655726186574,1,1,0.85
0A0D3654209707865ED4C0E,1,2,0.75
0A113421129753595120BC0,1,4,0.55
0A2233710504409990C4A2E,1,3,0.65
0A303655030185784AABE01,1,2,0.75
0A34365167074380093A03E,1,1,0.85
0A373403788563382F01BD6,0,2,0.75
0A38337827323494494C580,0,5,0.45
0A3934152205934137BB0A0,1,3,0.65
0A3F366609387969782AC0A,1,2,0.75
0A433396143773010E4E2B0,1,3,0.65
0A5E3569512875802AC3E33,0,5,0.45
0A703396823264892135907,0,3,0.65
0A7D34137634007720A9AA9,0,3,0.65
0A81342461235571461CC2F,1,4,0.55
0A823573035453641B22F70,0,3,0.65
0A8F3641895193150B04DA1,1,0,0.95
0A913604944058253A9042F,0,0,0.95
0A953377891102673179D88,1,4,0.55
0A95341729484555828444F,1,2,0.75
0A9F3631542433462A1F305,0,1,0.85
0AAA3380196544236CE518E,1,4,0.55
0AC533649850018933B3CA0,0,5,0.45
0AE134223486762074AF6D7,0,4,0.55
0AE63416452567487930781,1,3,0.65
0B2E3636440540414EC7936,1,1,0.85
0B3336274881622641CB762,1,1,0.85
0B3B33770557590650918E7,0,4,0.55
0B4836374105523632CF491,1,2,0.75
0B5A3571651106387FFEA7E,0,3,0.65
0B763367230146164BFE509,0,4,0.55
0B7D34127307760988CD6F5,1,3,0.65
0B953609481448121F9C31A,1,1,0.85
0BA934052124009593CE1D1,0,4,0.55
0BA93420250189742CA56BB,1,3,0.65
0BBD3426098294283FE61D0,0,2,0.75
0BDF36183297496283E65BE,0,2,0.75
0C0434238640165934D9B50,0,4,0.55
0C2634261523011858CBC67,1,4,0.55
0C2E3418817444207903C70,0,3,0.65
0C343639049565446321D52,1,0,0.95
