Intercept,ProsperRating__numeric,ListingCategory__numeric,TotalCreditLinespast7years_num,OpenRevolvingAccounts_num,CurrentDelinquencies_num,DelinquenciesLast7Years_num,BankcardUtilization_num,TradesNeverDelinquentpercent_num,LoanOriginalAmount_num,MonthlyLoanPayment_num,Investors_num,CreditHistory_Byear,clu_ES_1ind,clu_ES_2ind,CurrentlyInGroup_Find,IR_1ind,IR_2ind,IncomeVerifiable_Find
-7.87017614,0.112588694,0.033175677,-0.025769794,0.080856825,0.141050719,-0.016349354,-0.576172364,3.350346864,-0.00022365,0.00663539,-0.004366935,-0.001304004,-2.128300852,-0.698271094,2.149137179,1.982588369,2.103176449,0.210445923
-3.730957934,0.101221932,0.026704306,-0.013706442,0.044954966,0.089100298,-0.008234112,-0.32835701,1.895316193,-0.000157764,0.004556104,-0.002350315,-0.000826077,-1.145749038,-0.34117404,1.102183295,1.109297951,1.197251038,0.203720516
-2.274984432,0.106310628,0.03159342,-0.009875352,0.028481616,0.071081247,-0.006043767,-0.266231769,1.504393668,-0.000148269,0.004336005,-0.001943322,-0.000697019,-0.879138046,-0.272441018,0.741100384,0.825603793,0.881893762,0.271182351
-1.395214557,0.107633986,0.040090095,-0.008863973,0.024550682,0.063113852,-0.005542962,-0.222445862,1.321483533,-0.000159623,0.004679178,-0.001611479,-0.000760191,-0.878528391,-0.289258277,0.568160212,0.719795863,0.783878356,0.295401692
-0.669868382,0.120684174,0.048827136,-0.009458805,0.022673956,0.060670353,-0.005497347,-0.207465439,1.278986859,-0.000188531,0.005527729,-0.001540888,-0.000952863,-1.037688647,-0.388631809,0.523079454,0.702839743,0.752702633,0.29615098
-0.103700397,0.148344259,0.058384491,-0.010067649,0.027232213,0.06952376,-0.006200308,-0.277811516,1.453566919,-0.000250595,0.007329188,-0.001638817,-0.001147361,-1.363410918,-0.547952081,0.601822536,0.759352299,0.830375404,0.35583294
0.534501768,0.171430934,0.092338647,-0.013014975,0.034292179,0.093514211,-0.008667048,-0.333883426,1.899678655,-0.000322117,0.0094507,-0.002011137,-0.001465898,-1.815541072,-0.74524638,0.757598247,0.925154156,1.022461225,0.406259551
1.248422855,0.3049774,0.135913482,-0.017425356,0.043832804,0.136252784,-0.012110321,-0.579433284,2.911527886,-0.00050822,0.01501124,-0.003342312,-0.002217244,-2.628241083,-1.093227468,1.120625883,1.382010553,1.510030877,0.747735732
3.061666535,0.794669473,0.270446417,-0.035960538,0.085656678,0.270602912,-0.024187659,-1.037998285,5.920958905,-0.001122649,0.033260042,-0.006587438,-0.003995879,-5.53436412,-2.29561868,2.161550307,2.915993894,3.15200579,1.554548233
