"","Value","Lower.Bd","Upper.Bd","Std.Error","T.Value","Pr...t..","X1L","Value.1","Lower.Bd.1","Upper.Bd.1","Std.Error.1","T.Value.1","Pr...t...1","X2L","Value.2","Lower.Bd.2","Upper.Bd.2","Std.Error.2","T.Value.2","Pr...t...2","X3L","Value.3","Lower.Bd.3","Upper.Bd.3","Std.Error.3","T.Value.3","Pr...t...3","X4L","Value.4","Lower.Bd.4","Upper.Bd.4","Std.Error.4","T.Value.4","Pr...t...4","X5L","Value.5","Lower.Bd.5","Upper.Bd.5","Std.Error.5","T.Value.5","Pr...t...5","X6L","Value.6","Lower.Bd.6","Upper.Bd.6","Std.Error.6","T.Value.6","Pr...t...6","X7L","Value.7","Lower.Bd.7","Upper.Bd.7","Std.Error.7","T.Value.7","Pr...t...7","X8L","Value.8","Lower.Bd.8","Upper.Bd.8","Std.Error.8","T.Value.8","Pr...t...8","X9L"
"CurrentDelinquencies_num",0.0591735553901605,0.0262356853237047,0.0921114254566162,0.0168053445503415,3.52111527454271,0.000429735757116134,1,0.0378103302869165,-0.00396104840363577,0.0795817089774688,0.0213123195222155,1.77410676709796,0.0760454916606892,2,0.0170495665464771,-0.00586388797239294,0.0399630210653471,0.0116907528401585,1.45838054910465,0.144735678998622,3,0.0309491813124903,-0.00204176027067941,0.06394012289566,0.0168324223523483,1.83866473075829,0.0659645139948835,4,0.0235958133472185,0.00582089714956792,0.0413707295448691,0.00906900143974933,2.60180941683373,0.00927333700998356,5,0.0197173280467222,-0.0156039126416619,0.0550385687351064,0.0180213723144882,1.09410802366424,0.273907603816802,6,0.0103024504665344,-0.00596893117859593,0.0265738321116647,0.00830187787810229,1.24097832054467,0.214613757722079,7,0.0053854501765976,-0.0140956551702806,0.0248665555234758,0.00993952210374407,0.541821842175791,0.587941242991092,8,-0.00267419984620123,-0.0367541551747256,0.0314057554823231,0.0173880518200042,-0.153795253998765,0.877771176076146,9
"TradesOpenedLast6Months_num",-0.0437025548346276,-0.151575392955423,0.0641702832861678,0.0550381736458846,-0.794040789140456,0.427171685912976,1,-0.0587029168137808,-0.125928660996657,0.00852282736909499,0.0342994793338775,-1.71148128058609,0.0869923039297196,2,-0.0855417832173219,-0.143398622802958,-0.0276849436316855,0.0295193381317228,-2.89782185615453,0.0037576395945107,3,-0.0577683968362212,-0.0990173425804473,-0.016519451091995,0.0210457672026591,-2.74489384397078,0.00605304743383761,4,-0.0568463286783279,-0.107010770052869,-0.00668188730378665,0.0255945730483988,-2.22103055092314,0.0263488922189765,5,-0.0524388905529816,-0.130759177953879,0.025881396847916,0.0399600645821444,-1.31228242750171,0.189424858999242,6,-0.0656827233178174,-0.139759580815636,0.00839413418000083,0.0377950095420768,-1.73786762098032,0.0822341421602801,7,-0.0560863270512907,-0.134432838074949,0.022260183972368,0.0399734442273664,-1.40308967954513,0.160590098319722,8,-0.0491964898009178,-0.0977655287281669,-0.000627450873668722,0.0247805772505799,-1.98528425320547,0.0471128549888409,9
"OpenRevolvingAccounts_num",-0.00079755310671393,-0.0372178264835273,0.0356227202700994,0.0185821135817249,-0.0429204731316629,0.965764928588335,1,-0.00552510799628418,-0.0242708096585125,0.0132205936659441,0.00956430924756374,-0.577679773130669,0.563480337606691,2,-0.0048730883804622,-0.0181879169498698,0.00844174018894539,0.0067934047127566,-0.717326375581829,0.473172736340244,3,-0.0108056707376969,-0.0281993456679713,0.00658800419257743,0.00887448701479898,-1.21761074411147,0.223371929587584,4,-0.0112880609291068,-0.0278131903789374,0.00523706852072381,0.00843134342272548,-1.3388211537774,0.180628902530118,5,-0.0173037524559331,-0.0319186083868243,-0.00268889652504192,0.00745669616695578,-2.32056557870956,0.0203103017447501,6,-0.0144080366755099,-0.0267007045954101,-0.00211536875560976,0.00627188459423906,-2.29724199465408,0.021604968723133,7,-0.0150763421136083,-0.0393465015049828,0.00919381727776613,0.0123829619231855,-1.21750694277593,0.223411396502192,8,-0.00799610506382322,-0.0215573744773524,0.00556516434970594,0.00691914214776329,-1.15564977464845,0.247824439725364,9
"TotalInquiries_num",-0.0142539574720766,-0.0465933306592241,0.0180854157150708,0.016499983388591,-0.86387708013892,0.387655418825101,1,-0.00669262055809916,-0.0304515010995514,0.0170662599833531,0.0121221005737143,-0.5521007285331,0.58087934281964,2,0.0016319356758599,-0.0173818351160259,0.0206457064677457,0.00970108172490108,0.168222031536028,0.866408609264842,3,0.000107925123343634,-0.0149214125778975,0.0151372628245847,0.00766817034383825,0.0140744295580701,0.988770600692541,4,0.00663857186144377,-0.00959210703922805,0.0228692507621156,0.00828111079014581,0.801652342261065,0.422754090873478,5,0.00023198788417781,-0.0229225412256007,0.0233865169939563,0.0118137523405626,0.0196371040707598,0.984332864765494,6,-5.03198899373015e-05,-0.0126353185390688,0.0125346787591942,0.00642103566616548,-0.00783672487640169,0.993747262215132,7,-0.00103455012533135,-0.0235368044835122,0.0214677042328495,0.0114809529846853,-0.0901101264600037,0.928199702207908,8,0.00186095047736227,-0.00958325404383858,0.0133051549985631,0.00583898715051464,0.318711178735553,0.749945536984072,9
"StatedMonthlyIncome_num",-2.05969413027824e-05,-5.85767244995309e-05,1.73828418939661e-05,1.93777964780619e-05,-1.06291452312964,0.287820716244903,1,-1.13331161966582e-05,-3.54413102268584e-05,1.2775077833542e-05,1.23003250163587e-05,-0.921367214409849,0.356858739813186,2,7.0905499038002e-07,-1.52407603915753e-07,1.57051758467579e-06,4.39529808246927e-07,1.61321252182667,0.106698343919551,3,2.30971492035517e-07,-1.81772784432818e-07,6.43715768503852e-07,2.10587684122774e-07,1.09679487192071,0.272731072408634,4,-3.49841192697891e-07,-8.49730831357041e-07,1.50048445961259e-07,2.55050420621101e-07,-1.3716550313697,0.170170853557993,5,-6.32836113326954e-07,-1.52468401558314e-06,2.59011788929228e-07,4.55032801261128e-07,-1.39074834071971,0.164301753182638,6,-1.14573983369365e-06,-1.51360820413268e-06,-7.7787146325462e-07,1.87691392974936e-07,-6.1043813226249,1.03199626622086e-09,7,-1.38261101020587e-06,-1.93084825884423e-06,-8.34373761567515e-07,2.79718021842636e-07,-4.94287425993488,7.69791357990712e-07,8,-1.40148019774799e-06,-2.1416157918433e-06,-6.61344603652674e-07,3.77627140056352e-07,-3.71128038503495,0.000206213532914168,9
"Investors_num",0.00161165864834193,0.000617985337166773,0.00260533195951709,0.000506985495148445,3.17890484789913,0.00147832611667975,1,0.00216329078296193,0.00117896057899671,0.00314762098692715,0.000502218516120447,4.30746918626773,1.6513309134325e-05,2,0.00288464472714703,0.0020758743870168,0.00369341506727726,0.000412645511095974,6.99061215881279,2.73692180030594e-12,3,0.00327211284855715,0.00258014422603003,0.00396408147108427,0.000353051702982953,9.26808402540165,0,4,0.00334457876140576,0.00288507656037109,0.00380408096244042,0.000234444206454384,14.2659902412923,0,5,0.00325394067877914,0.00266255509427992,0.00384532626327837,0.000301732883442757,10.7841765261109,0,6,0.00318756302179266,0.00261930608091233,0.00375581996267299,0.000289932338227983,10.994161745718,0,7,0.00300159974573258,0.00228938391412724,0.00371381557733791,0.000363382101519827,8.26017498709632,2.22044604925031e-16,8,0.00243229555400719,0.0012503797526008,0.00361421135541357,0.000603029346829424,4.03346133450317,5.496122767501e-05,9
"OpenRevolvingMonthlyPayment_num",2.6690052524139e-05,-0.000293566640040864,0.000346946745089142,0.000163399274216846,0.163342540241144,0.87024874137995,1,3.90203887442253e-05,-0.000111745694810931,0.000189786472299382,7.69228846776677e-05,0.507266321430009,0.611967965873984,2,-7.00894407581896e-06,-0.000227438990881845,0.000213421102730207,0.000112466376190966,-0.062320351319206,0.950307721967064,3,1.42069613374464e-05,-0.000184955162192934,0.000213369084867826,0.00010161519553489,0.139811386108767,0.888809016847041,4,-1.43228587979503e-05,-0.000276196900785923,0.000247551183190023,0.000133611660241516,-0.107197671012098,0.914632163047602,5,3.6926337954617e-05,-7.68813485959237e-05,0.000150734024505158,5.80662131795489e-05,0.635935011646715,0.524818781389188,6,-5.92212497835103e-05,-0.000177155061251022,5.87125616840019e-05,6.01714176371398e-05,-0.984208983418681,0.325012769695153,7,5.05317255186588e-05,-0.000353976617639101,0.000455040068676418,0.000206385600117385,0.244841333358133,0.806579288348109,8,3.01791660413075e-05,-9.82821691082194e-05,0.000158640501190835,6.55427018877967e-05,0.460450441804666,0.64519293562488,9
"EmploymentStatusDuration_num",-0.00129694110039752,-0.00359116940060363,0.000997287199808587,0.00117054615202253,-1.10797946595835,0.267870684101875,1,-0.000168597013823981,-0.000962012208312664,0.000624818180664702,0.000404811109156618,-0.416483169583057,0.677056480477422,2,-0.000248734899032963,-0.000751962211259313,0.000254492413193387,0.000256753346589908,-0.96876984209381,0.332660036690845,3,-0.000183676254661633,-0.000812161639361919,0.000444809130038653,0.000320661700754554,-0.572803843519265,0.566777516398675,4,-0.000316837941368855,-0.000900715608165818,0.000267039725428107,0.00029790224279758,-1.06356346428765,0.287526500855022,5,-0.000278853017199188,-0.000902142689211687,0.00034443665481331,0.000318010778222931,-0.876866560175856,0.380559121162297,6,-0.00012017764204628,-0.000763300408973671,0.000522945124881112,0.000328129890140973,-0.366250212666235,0.714178376875026,7,-0.000198256105953952,-0.00108956324534396,0.00069305103343606,0.000454756896769802,-0.435960636028153,0.662865289943906,8,-0.000342285891256827,-0.000971029285969297,0.000286457503455643,0.000320793340934792,-1.06699811866233,0.285972685488431,9
"BankcardUtilization_num",0.232315677637823,-0.0854991564375733,0.55013051171322,0.162153405155543,1.43269071293925,0.151946244715176,1,0.0977479112055169,-0.178651177468954,0.374146999879988,0.141022534523426,0.693136820550332,0.488223692459898,2,0.00219564464946239,-0.216069760355337,0.220461049654262,0.111361946814558,0.0197162918956384,0.984269694252761,3,-0.103710056335808,-0.295407233051228,0.0879871203796122,0.0978064792146707,-1.06035977543144,0.288980954566964,4,-0.0727958604706054,-0.319741001122583,0.174149280181372,0.12599473388279,-0.57776907198618,0.563420038664298,5,-0.0743960398420441,-0.372011854061812,0.223219774377724,0.151847593408513,-0.489938879978805,0.624177149521572,6,-0.0315891421193749,-0.272776135082828,0.209597850844078,0.123056849445146,-0.256703647637723,0.797407555481432,7,-0.0758222945777065,-0.276195778157103,0.12455118900169,0.102233247733079,-0.741659844121071,0.458293455238632,8,-0.05364931546264,-0.27481458687104,0.16751595594576,0.112841497676959,-0.475439590639133,0.634473681288961,9
"tau",0.1,0.1,0.1,0.1,0.1,0.1,1,0.2,0.2,0.2,0.2,0.2,0.2,2,0.3,0.3,0.3,0.3,0.3,0.3,3,0.4,0.4,0.4,0.4,0.4,0.4,4,0.5,0.5,0.5,0.5,0.5,0.5,5,0.6,0.6,0.6,0.6,0.6,0.6,6,0.7,0.7,0.7,0.7,0.7,0.7,7,0.8,0.8,0.8,0.8,0.8,0.8,8,0.9,0.9,0.9,0.9,0.9,0.9,9
